DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
263,FEDERATION,2975355,NORMAL,"SOARING CENTRE COROWA AERODROME",,311,"REDLANDS RD","COROWA",2646,"32/1049834",SP2,1.563,H,01/07/2018,12800,14A(1),6A(1),01/07/2017,10400,14A(1),6A(1),01/07/2016,9996,14A(1),6A(1),01/07/2015,9520,14A(1),6A(1),01/07/2014,9520,14A(1),6A(1),
263,FEDERATION,2844415,NORMAL,"",,8705,"FEDERATION WAY","MORUNDAH",2700,"10/1030772 Licence 333292 WS 70762",RU1,4111.5,H,01/07/2018,3270000,14A(1),6A(3)/14I,01/07/2017,2620000,14A(1),6A(3)/14I,01/07/2016,2196000,14A(1),6A(3)/14I,01/07/2015,1830000,14A(1),6A(3)/14I,01/07/2014,1740000,14A(1),6A(3)/14I,
263,FEDERATION,2844416,NORMAL,"",,,"FEDERATION WAY","MORUNDAH",2700,"11/1030772",SP2,9.465,H,01/07/2018,9320,14A(1),6A(1),01/07/2017,7770,14A(1),6A(1),01/07/2016,6919,14A(1),6A(1),01/07/2015,6290,14A(1),6A(1),01/07/2014,5990,14A(1),6A(1),
263,FEDERATION,2856896,NORMAL,"",,853,"WIDGIEWA RD","MORUNDAH",2700,"2/620553",RU1,24.67,H,01/07/2018,33700,14A(1),6A(1),01/07/2017,27000,14A(1),6A(1),01/07/2016,22560,14A(1),6A(1),01/07/2015,18800,14A(1),6A(1),01/07/2014,17900,14A(1),6A(1),
263,FEDERATION,2860043,NORMAL,"",,116A,"REDLANDS RD","COROWA",2646,"41/1033625",R2,6.961,H,01/07/2018,184000,14A(1),6A(1),01/07/2017,180000,14A(1),6A(1),01/07/2016,180000,14A(1),6A(1),01/07/2015,180000,14A(1),6A(1),01/07/2014,180000,14A(1),6A(1),
263,FEDERATION,2860044,NORMAL,"",,146,"REDLANDS RD","COROWA",2646,"42/1033625",R2,6.873,H,01/07/2018,184000,14A(1),6A(1),01/07/2017,180000,14A(1),6A(1),01/07/2016,180000,14A(1),6A(1),01/07/2015,180000,14A(1),6A(1),01/07/2014,180000,14A(1),6A(1),
263,FEDERATION,2857293,NORMAL,"",,,"CLARENCE ST","BOREE CREEK",2652,"97, 103/756392 2/973344 1/1100144",RU5,1.213,H,01/07/2018,13300,14A(1),6A(1),01/07/2017,12400,14A(1),6A(1),01/07/2016,12400,14A(1),6A(1),01/07/2015,12400,14A(1),6A(1),01/07/2014,12400,14A(1),6A(1),
263,FEDERATION,2841138,NORMAL,"",,,"BALLDALE-COREEN RD","COREEN",2646,"2/104532 64, 65/753746 1/1024631",RU1,189.161,H,01/07/2018,483000,14A(1),6A(1),01/07/2017,420000,14A(1),6A(1),01/07/2016,383750,14A(1),6A(1),01/07/2015,307000,14A(1),6A(1),01/07/2014,307000,14A(1),6A(1),
263,FEDERATION,2841377,NORMAL,"",,49,"RUSSELL ST","HOWLONG",2643,"4/742292 5/40/758528",R1,4046,M,01/07/2018,132000,14A(1),6A(1),01/07/2017,127000,14A(1),6A(1),01/07/2016,122100,14A(1),6A(1),01/07/2015,111000,14A(1),6A(1),01/07/2014,106000,14A(1),6A(1),
263,FEDERATION,2860539,NORMAL,"",2,6,"LAKEVIEW CT","MULWALA",2647,"362/41564",R1,151.6,M,01/07/2018,1030,14A(1),6A(1),01/07/2017,1020,14A(1),6A(1),01/07/2016,980,14A(1),6A(1),01/07/2015,980,14A(1),6A(1),01/07/2014,980,14A(1),6A(1),
