DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
269,MURRAY RIVER,2850841,NORMAL,"",,1,"PELICAN PL","MOAMA",2731,"104/270064",R1,556,M,01/07/2018,109000,14A(1),6A(3),01/07/2017,104000,14A(1),6A(3),01/07/2016,103100,14A(1),6A(3),01/07/2015,98200,14A(1),6A(3),01/07/2014,90900,14A(1),6A(3),
269,MURRAY RIVER,2850842,NORMAL,"",,2,"PELICAN PL","MOAMA",2731,"103/270064",R1,431,M,01/07/2018,98000,14A(1),6A(3),01/07/2017,93400,14A(1),6A(3),01/07/2016,92500,14A(1),6A(3),01/07/2015,88100,14A(1),6A(3),01/07/2014,81600,14A(1),6A(3),
269,MURRAY RIVER,2850843,NORMAL,"",,3,"PELICAN PL","MOAMA",2731,"102/270064",R1,623,M,01/07/2018,115000,14A(1),6A(3),01/07/2017,110000,14A(1),6A(3),01/07/2016,109200,14A(1),6A(3),01/07/2015,104000,14A(1),6A(3),01/07/2014,96300,14A(1),6A(3),
269,MURRAY RIVER,2850844,NORMAL,"",,4,"PELICAN PL","MOAMA",2731,"101/270064",R1,435,M,01/07/2018,98000,14A(1),6A(3),01/07/2017,93400,14A(1),6A(3),01/07/2016,92500,14A(1),6A(3),01/07/2015,88100,14A(1),6A(3),01/07/2014,81600,14A(1),6A(3),
269,MURRAY RIVER,2850845,NORMAL,"",,5,"PELICAN PL","MOAMA",2731,"100/270064",R1,1306,M,01/07/2018,194000,14A(1),6A(3),01/07/2017,185000,14A(1),6A(3),01/07/2016,183800,14A(1),6A(3),01/07/2015,175000,14A(1),6A(3),01/07/2014,162000,14A(1),6A(3),
269,MURRAY RIVER,2818897,NORMAL,"PH  TAMAR",,,"GARDEN RESERVE RD","BUNNALOO",2731,"56/751157",RU1,48.56,H,01/07/2018,115000,14A(1),6A(3),01/07/2017,105000,14A(1),6A(3),01/07/2016,100300,14A(1),6A(3),01/07/2015,100300,14A(1),6A(3),01/07/2014,95500,14A(1),6A(3),
269,MURRAY RIVER,2861535,NORMAL,"",,4155,"MOULAMEIN RD","TULLAKOOL",2732,"7, 98/756513 120/820184 123/823019",RU1,413.1,H,01/07/2018,366000,14A(1),6A(3),01/07/2017,333000,14A(1),6A(3),01/07/2016,317500,14A(1),6A(3),01/07/2015,302400,14A(1),6A(3),01/07/2014,288000,14A(1),6A(3),
269,MURRAY RIVER,2826881,NORMAL,"",,,"PERRICOOTA ST","WOMBOOTA",2731,"6, 7/1/759106",RU5,4047,M,01/07/2018,8080,14A(1),6A(1),01/07/2017,7700,14A(1),6A(1),01/07/2016,7700,14A(1),6A(1),01/07/2015,7700,14A(1),6A(1),01/07/2014,7500,14A(1),6A(1),
269,MURRAY RIVER,2826882,NORMAL,"",,,"PERRICOOTA ST","WOMBOOTA",2731,"8, 9, 10/1/759106",RU5,6070,M,01/07/2018,12600,14A(1),6A(1),01/07/2017,12000,14A(1),6A(1),01/07/2016,12000,14A(1),6A(1),01/07/2015,12000,14A(1),6A(1),01/07/2014,12000,14A(1),6A(1),
269,MURRAY RIVER,2854794,NORMAL,"",,2066,"KYALITE RD","MOOLPA",2734,"66/725839 61/756520 68, 69/1007190 Licence 320867",RU1,274.3,H,01/07/2018,281000,14A(1),6A(3),01/07/2017,256000,14A(1),6A(3),01/07/2016,253700,14A(1),6A(3),01/07/2015,253700,14A(1),6A(3),01/07/2014,247000,14A(1),6A(3),
269,MURRAY RIVER,2857904,NORMAL,"PH TOOLEYBUC",,106,"LOCKHART RD","TOOLEYBUC",2736,"20/1033620",RU1,1,H,01/07/2018,23100,14A(1),6A(1),01/07/2017,21000,14A(1),6A(1),01/07/2016,20400,14A(1),6A(1),01/07/2015,20000,14A(1),6A(1),01/07/2014,20000,14A(1),6A(1),
269,MURRAY RIVER,2857905,NORMAL,"PH TOOLEYBUC",,108,"LOCKHART RD","TOOLEYBUC",2736,"21/1033620",RU1,10.79,H,01/07/2018,77700,14A(1),6A(3),01/07/2017,70700,14A(1),6A(3),01/07/2016,68700,14A(1),6A(3),01/07/2015,67400,14A(1),6A(3),01/07/2014,66000,14A(1),6A(3),
269,MURRAY RIVER,2832757,NORMAL,"",,107,"COX RD","KORALEIGH",2735,"1, 2/190734",RU1,6.03,H,01/07/2018,27600,14A(1),6A(3),01/07/2017,27600,14A(1),6A(3),01/07/2016,27600,14A(1),6A(3),01/07/2015,27100,14A(1),6A(3),01/07/2014,26400,14A(1),6A(3),
