DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
262,EDWARD RIVER,522302,NORMAL,"",,81,"END ST","DENILIQUIN",2710,"6/19/758913",B2,1012,M,01/07/2018,80100,14A(1),6A(1),01/07/2017,72900,14A(1),6A(1),01/07/2016,70800,14A(1),6A(1),01/07/2015,68700,14A(1),6A(1),01/07/2014,68700,14A(1),6A(1),
262,EDWARD RIVER,522303,NORMAL,"",,77,"END ST","DENILIQUIN",2710,"7/19/758913",B2,1012,M,01/07/2018,80100,14A(1),6A(1),01/07/2017,72900,14A(1),6A(1),01/07/2016,70800,14A(1),6A(1),01/07/2015,68700,14A(1),6A(1),01/07/2014,68700,14A(1),6A(1),
262,EDWARD RIVER,522306,NORMAL,"",,63-65,"END ST","DENILIQUIN",2710,"10/19/758913",B2,1012,M,01/07/2018,80100,14A(1),6A(1),01/07/2017,72900,14A(1),6A(1),01/07/2016,70800,14A(1),6A(1),01/07/2015,68700,14A(1),6A(1),01/07/2014,68700,14A(1),6A(1),
262,EDWARD RIVER,522308,NORMAL,"",,339-347,"EVANS ST","DENILIQUIN",2710,"4, 5, 6, 12, 13/B/3483",R,5090,M,01/07/2018,54200,14A(1),6A(1),01/07/2017,41700,14A(1),6A(1),01/07/2016,41700,14A(1),6A(1),01/07/2015,39700,14A(1),6A(1),01/07/2014,39700,14A(1),6A(1),
262,EDWARD RIVER,522309,NORMAL,"",,351,"EVANS ST","DENILIQUIN",2710,"6/C/3483",R,2023,M,01/07/2018,26100,14A(1),6A(1),01/07/2017,20100,14A(1),6A(1),01/07/2016,20100,14A(1),6A(1),01/07/2015,19100,14A(1),6A(1),01/07/2014,19100,14A(1),6A(1),
262,EDWARD RIVER,522310,NORMAL,"",,,"EVANS ST","DENILIQUIN",2710,"1, 2/C/3483 33/1230061",R,6222,M,01/07/2018,19500,14A(1),6A(1),01/07/2017,15000,14A(1),6A(1),01/07/2016,15000,14A(2),6A(1),01/07/2015,14300,14A(1),6A(1),01/07/2014,14300,14A(1),6A(1),
262,EDWARD RIVER,522311,NORMAL,"",,,"EVANS ST","DENILIQUIN",2710,"99/756310 Public Reserve 62917",E3,4.373,H,01/07/2018,24200,14A(1),6A(1),01/07/2017,22000,14A(1),6A(1),01/07/2016,22000,14A(1),6A(1),01/07/2015,22000,14A(1),6A(1),01/07/2014,22000,14A(1),6A(1),
262,EDWARD RIVER,522312,NORMAL,"",,,"EVANS ST","DENILIQUIN",2710,"106/756310",E3,1.432,H,01/07/2018,41600,14A(1),6A(1),01/07/2017,37900,14A(1),6A(1),01/07/2016,37900,14A(1),6A(1),01/07/2015,37900,14A(1),6A(1),01/07/2014,37900,14A(1),6A(1),
262,EDWARD RIVER,522313,NORMAL,"",,348,"EVANS ST","DENILIQUIN",2710,"22/24215",R,765.1,M,01/07/2018,11700,14A(1),6A(1),01/07/2017,9000,14A(1),6A(1),01/07/2016,9000,14A(1),6A(1),01/07/2015,8600,14A(1),6A(1),01/07/2014,8570,14A(1),6A(1),
262,EDWARD RIVER,522314,NORMAL,"",,346,"EVANS ST","DENILIQUIN",2710,"21/24215",R,765.1,M,01/07/2018,11700,14A(1),6A(1),01/07/2017,9000,14A(1),6A(1),01/07/2016,9000,14A(1),6A(1),01/07/2015,8600,14A(1),6A(1),01/07/2014,8570,14A(1),6A(1),
262,EDWARD RIVER,522315,NORMAL,"",,344,"EVANS ST","DENILIQUIN",2710,"20/24215",R,765.1,M,01/07/2018,11700,14A(1),6A(1),01/07/2017,9000,14A(1),6A(1),01/07/2016,9000,14A(1),6A(1),01/07/2015,8600,14A(1),6A(1),01/07/2014,8570,14A(1),6A(1),
262,EDWARD RIVER,522316,NORMAL,"",,1,"FIELD CT","DENILIQUIN",2710,"52/749636 Housing PRN 118802",R1,567.5,M,01/07/2018,12900,14A(1),6A(1),01/07/2017,11300,14A(1),6A(1),01/07/2016,11300,14A(1),6A(1),01/07/2015,10800,14A(1),6A(1),01/07/2014,10800,14A(1),6A(1),
262,EDWARD RIVER,522317,NORMAL,"",,2,"FIELD CT","DENILIQUIN",2710,"53/749636 Housing PRN 11803",R1,616.8,M,01/07/2018,12900,14A(1),6A(1),01/07/2017,11300,14A(1),6A(1),01/07/2016,11300,14A(1),6A(1),01/07/2015,10800,14A(1),6A(1),01/07/2014,10800,14A(1),6A(1),
262,EDWARD RIVER,522318,NORMAL,"",,3,"FIELD CT","DENILIQUIN",2710,"54/749636 Housing PRN 118804",R1,619.8,M,01/07/2018,12900,14A(1),6A(1),01/07/2017,11300,14A(1),6A(1),01/07/2016,11300,14A(1),6A(1),01/07/2015,10800,14A(1),6A(1),01/07/2014,10800,14A(1),6A(1),
262,EDWARD RIVER,522319,NORMAL,"",,4,"FIELD CT","DENILIQUIN",2710,"55/749636 Housing PRN 118805",R1,647.3,M,01/07/2018,12900,14A(1),6A(1),01/07/2017,11300,14A(1),6A(1),01/07/2016,11300,14A(1),6A(1),01/07/2015,10800,14A(1),6A(1),01/07/2014,10800,14A(1),6A(1),
262,EDWARD RIVER,522320,NORMAL,"DUNOON",,183-205,"RIVERINA HWY","DENILIQUIN",2710,"104/756310",R5,8.675,H,01/07/2018,144000,14A(1),6A(1),01/07/2017,126000,14A(1),6A(1),01/07/2016,126700,14A(1),6A(1),01/07/2015,123000,14A(1),6A(1),01/07/2014,123000,14A(1),6A(1),
262,EDWARD RIVER,522321,NORMAL,"",,21740,"RIVERINA HWY","DENILIQUIN",2710,"101/756310",RU1,8.675,H,01/07/2018,124000,14A(1),6A(1),01/07/2017,112000,14A(1),6A(1),01/07/2016,93500,14A(1),6A(1),01/07/2015,89000,14A(1),6A(1),01/07/2014,87300,14A(1),6A(1),
262,EDWARD RIVER,522322,NORMAL,"",,21701,"RIVERINA HWY","DENILIQUIN",2710,"64, 88, 89, 90, 102, 116/756310 PT 2/25/758782 11/840477",RU1,271.22,H,01/07/2018,554000,14A(1),6A(3),01/07/2017,462000,14A(1),6A(3),01/07/2016,462000,14A(1),6A(3),01/07/2015,440000,14A(1),6A(3),01/07/2014,440000,14A(1),6A(3),
262,EDWARD RIVER,522323,NORMAL,"AUDLAW PARK",,21644,"RIVERINA HWY","DENILIQUIN",2710,"A/161845",RU1,4.046,H,01/07/2018,86300,14A(1),6A(1),01/07/2017,78500,14A(1),6A(1),01/07/2016,74800,14A(1),6A(1),01/07/2015,71200,14A(1),6A(1),01/07/2014,69800,14A(1),6A(1),
262,EDWARD RIVER,522324,NORMAL,"",,21632,"RIVERINA HWY","DENILIQUIN",2710,"11/809701",RU1,9958,M,01/07/2018,54500,14A(1),6A(1),01/07/2017,49600,14A(1),6A(1),01/07/2016,47300,14A(1),6A(1),01/07/2015,45000,14A(1),6A(1),01/07/2014,44100,14A(1),6A(1),
262,EDWARD RIVER,522325,NORMAL,"",,21634,"RIVERINA HWY","DENILIQUIN",2710,"12/809701",RU1,33.21,H,01/07/2018,140000,14A(1),6A(1),01/07/2017,128000,14A(1),6A(1),01/07/2016,122100,14A(1),6A(1),01/07/2015,116300,14A(1),6A(1),01/07/2014,114000,14A(1),6A(1),
262,EDWARD RIVER,522326,NORMAL,"",,21382,"RIVERINA HWY","DENILIQUIN",2710,"11/856212",RU1,46,H,01/07/2018,175000,14A(1),6A(3),01/07/2017,135000,14A(1),6A(3),01/07/2016,129500,14A(1),6A(3),01/07/2015,137000,14A(1),6A(3),01/07/2014,133000,14A(1),6A(3),
262,EDWARD RIVER,522327,NORMAL,"",,21380,"RIVERINA HWY","DENILIQUIN",2710,"112/1008891",RU1,43.12,H,01/07/2018,194000,14A(1),6A(3),01/07/2017,141000,14A(1),6A(3),01/07/2016,134700,14A(1),6A(3),01/07/2015,130800,14A(1),6A(3),01/07/2014,127000,14A(1),6A(3),
262,EDWARD RIVER,522333,NORMAL,"",,,"RIVERINA HWY","DENILIQUIN",2710,"1/536901",RU1,3.344,H,01/07/2018,47000,14A(1),6A(1),01/07/2017,42800,14A(1),6A(1),01/07/2016,40800,14A(1),6A(1),01/07/2015,38900,14A(1),6A(1),01/07/2014,38100,14A(1),6A(1),
262,EDWARD RIVER,522337,NORMAL,"",,21545,"RIVERINA HWY","DENILIQUIN",2710,"1/585994 12/840477",RU1,1.484,H,01/07/2018,202000,14A(1),6A(1),01/07/2017,169000,14A(1),6A(1),01/07/2016,169100,14A(1),6A(1),01/07/2015,161000,14A(1),6A(1),01/07/2014,161000,14A(1),6A(1),
