DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
538,TEMORA,2840753,NORMAL,"",,1,"HINDE ST","TEMORA",2666,"1/811364",R1,3042,M,01/07/2018,76400,14A(1),6A(1),01/07/2017,70000,14A(1),6A(1),01/07/2016,57000,14A(1),6A(1),01/07/2015,54000,14A(1),6A(1),01/07/2014,49100,14A(1),6A(1),
538,TEMORA,2840758,NORMAL,"",,1A,"HINDE ST","TEMORA",2666,"2/811364",R1,2534,M,01/07/2018,76400,14A(1),6A(1),01/07/2017,70000,14A(1),6A(1),01/07/2016,52500,14A(1),6A(1),01/07/2015,49700,14A(1),6A(1),01/07/2014,45200,14A(1),6A(1),
538,TEMORA,2840766,NORMAL,"",,948,"TRAEGERS RD","GIDGINBUNG",2666,"156, 157, 163/750621",RU1,85.91,H,01/07/2018,309000,14A(1),6A(1),01/07/2017,238000,14A(1),6A(1),01/07/2016,171000,14A(1),6A(1),01/07/2015,155000,14A(1),6A(1),01/07/2014,135000,14A(1),6A(1),
538,TEMORA,2818889,NORMAL,"",,29,"TOM MOON AVE","TEMORA",2666,"10/1022486",SP1,1025,M,01/07/2018,112000,14A(1),6A(1),01/07/2017,96700,14A(1),6A(1),01/07/2016,95200,14A(1),6A(1),01/07/2015,95200,14A(1),6A(1),01/07/2014,89000,14A(1),6A(1),
538,TEMORA,2841135,NORMAL,"",,56,"REINHOLDS LANE","TEMORA",2666,"38/750624",RU1,47.45,H,01/07/2018,224000,14A(1),6A(1),01/07/2017,172000,14A(1),6A(1),01/07/2016,143000,14A(1),6A(1),01/07/2015,124000,14A(1),6A(1),01/07/2014,113000,14A(1),6A(1),
538,TEMORA,2864623,NORMAL,"",,129,"CEMETERY RD","ARIAH PARK",2665,"113/750852",RU1,184.04,H,01/07/2018,565000,14A(1),6A(1),01/07/2017,436000,14A(1),6A(1),01/07/2016,363000,14A(1),6A(1),01/07/2015,317000,14A(1),6A(1),01/07/2014,276000,14A(1),6A(1),
538,TEMORA,2864625,NORMAL,"",,118,"MIRROOL RD","ARIAH PARK",2665,"114, 118/750852",RU1,58.78,H,01/07/2018,303000,14A(1),6A(1),01/07/2017,180000,14A(1),6A(1),01/07/2016,150000,14A(1),6A(1),01/07/2015,131000,14A(1),6A(1),01/07/2014,114000,14A(1),6A(1),
538,TEMORA,2864644,NORMAL,"",,1,"KITCHENER RD","TEMORA",2666,"A/402461",B6,1170,M,01/07/2018,27400,14A(1),6A(1),01/07/2017,24700,14A(1),6A(1),01/07/2016,23500,14A(1),6A(1),01/07/2015,22000,14A(1),6A(1),01/07/2014,20000,14A(1),6A(1),
538,TEMORA,2864679,NORMAL,"",,7,"COOLAMON ST","ARIAH PARK",2665,"5, 6, 7/12450",RU5,3339.6,M,01/07/2018,18100,14A(1),6A(1),01/07/2017,18100,14A(1),6A(1),01/07/2016,12100,14A(1),6A(1),01/07/2015,12100,14A(1),6A(1),01/07/2014,11500,14A(1),6A(1),
538,TEMORA,2864680,NORMAL,"",,1,"COOLAMON ST","ARIAH PARK",2665,"8, 9/12450",RU5,3238.4,M,01/07/2018,16500,14A(1),6A(1),01/07/2017,16500,14A(1),6A(1),01/07/2016,11000,14A(1),6A(1),01/07/2015,11000,14A(1),6A(1),01/07/2014,10400,14A(1),6A(1),
538,TEMORA,2882617,NORMAL,"",2,6235,"BURLEY GRIFFIN WAY","SPRINGDALE",2666,"167/750603 Licence 331063",RU5,2.15,H,01/07/2018,35600,14A(1),14I,01/07/2017,35600,14A(1),14I,01/07/2016,24700,14A(1),14I,01/07/2015,24700,14A(1),14I,01/07/2014,23500,14A(1),14I,
538,TEMORA,2882642,NORMAL,"",,90,"TWYNAM ST","TEMORA",2666,"7, 8/252291 662, 663, 665, 1079, 1190/750587",SP1,8.745,H,01/07/2018,159000,14A(1),6A(1),01/07/2017,144000,14A(1),6A(1),01/07/2016,137000,14A(1),6A(1),01/07/2015,128000,14A(1),6A(1),01/07/2014,116000,14A(1),6A(1),
538,TEMORA,2876681,NORMAL,"",,236,"CASSIDYS RD","PUCAWAN",2666,"5/1036086",RU1,49.91,H,01/07/2018,102000,14A(1),6A(1),01/07/2017,78900,14A(1),6A(1),01/07/2016,56900,14A(1),6A(1),01/07/2015,51200,14A(1),6A(1),01/07/2014,44500,14A(1),6A(1),
