DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
265,COOTAMUNDRA-GUNDAGAI REGIONAL,419844,NORMAL,"",,321,"PARKER ST","COOTAMUNDRA",2590,"F/13002",R3,638.6,M,01/07/2018,76500,14A(1),6A(1),01/07/2017,68700,14A(1),6A(1),01/07/2016,62300,14A(1),6A(1),01/07/2015,62300,14A(1),6A(1),01/07/2014,62300,14A(1),6A(1),
265,COOTAMUNDRA-GUNDAGAI REGIONAL,419845,UNDERSP,"",,319,"PARKER ST","COOTAMUNDRA",2590,"1, 2, 3, 4, CP/SP40186",R3,1256,M,01/07/2018,170000,14A(1),6A(1),01/07/2017,153000,14A(1),6A(1),01/07/2016,139000,14A(1),6A(1),01/07/2015,139000,14A(1),6A(1),01/07/2014,139000,14A(1),6A(1),
265,COOTAMUNDRA-GUNDAGAI REGIONAL,419850,NORMAL,"",,317,"PARKER ST","COOTAMUNDRA",2590,"1/350008",R3,766,M,01/07/2018,89100,14A(1),6A(1),01/07/2017,80000,14A(1),6A(1),01/07/2016,72600,14A(1),6A(1),01/07/2015,72600,14A(1),6A(1),01/07/2014,72600,14A(1),6A(1),
265,COOTAMUNDRA-GUNDAGAI REGIONAL,419851,NORMAL,"",,315,"PARKER ST","COOTAMUNDRA",2590,"2/311726",R3,674.4,M,01/07/2018,82200,14A(1),6A(1),01/07/2017,73800,14A(1),6A(1),01/07/2016,67000,14A(1),6A(1),01/07/2015,67000,14A(1),6A(1),01/07/2014,67000,14A(1),6A(1),
265,COOTAMUNDRA-GUNDAGAI REGIONAL,419852,NORMAL,"",,313,"PARKER ST","COOTAMUNDRA",2590,"1/314490",R3,720.5,M,01/07/2018,86200,14A(1),6A(1),01/07/2017,77400,14A(1),6A(1),01/07/2016,70200,14A(1),6A(1),01/07/2015,70200,14A(1),6A(1),01/07/2014,70200,14A(1),6A(1),
265,COOTAMUNDRA-GUNDAGAI REGIONAL,419853,NORMAL,"",,311,"PARKER ST","COOTAMUNDRA",2590,"2/314490",R3,628.5,M,01/07/2018,78000,14A(1),6A(1),01/07/2017,70000,14A(1),6A(1),01/07/2016,63500,14A(1),6A(1),01/07/2015,63500,14A(1),6A(1),01/07/2014,63500,14A(1),6A(1),
265,COOTAMUNDRA-GUNDAGAI REGIONAL,419854,NORMAL,"",,309,"PARKER ST","COOTAMUNDRA",2590,"4, 5/32/758287 Public Reserve 90186",R3,2624,M,01/07/2018,240000,14A(1),6A(1),01/07/2017,215000,14A(1),6A(1),01/07/2016,195000,14A(1),6A(1),01/07/2015,195000,14A(1),6A(1),01/07/2014,195000,14A(1),6A(1),
265,COOTAMUNDRA-GUNDAGAI REGIONAL,419855,NORMAL,"",,299-301,"PARKER ST","COOTAMUNDRA",2590,"1/333285 C, D/375596 1, 14/32/758287",B3,6303,M,01/07/2018,459000,14A(1),6A(1),01/07/2017,370000,14A(1),6A(1),01/07/2016,359000,14A(1),6A(1),01/07/2015,342000,14A(1),6A(1),01/07/2014,342000,14A(1),6A(1),
265,COOTAMUNDRA-GUNDAGAI REGIONAL,419856,NORMAL,"",,277,"PARKER ST","COOTAMUNDRA",2590,"2/562670",B3,1684,M,01/07/2018,187000,14A(1),6A(1),01/07/2017,151000,14A(1),6A(1),01/07/2016,147000,14A(1),6A(1),01/07/2015,140000,14A(1),6A(1),01/07/2014,140000,14A(1),6A(1),
265,COOTAMUNDRA-GUNDAGAI REGIONAL,419857,NORMAL,"",,267-275,"PARKER ST","COOTAMUNDRA",2590,"1/562670",B3,737.3,M,01/07/2018,165000,14A(1),6A(1),01/07/2017,133000,14A(1),6A(1),01/07/2016,129000,14A(1),6A(1),01/07/2015,123000,14A(1),6A(1),01/07/2014,123000,14A(1),6A(1),
