DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
274,SNOWY VALLEYS,2975356,NORMAL,"",,1687,"SNOWY MOUNTAINS HWY","ADELONG",2729,"1/1049893",RU1,2.788,H,01/07/2018,106000,14A(1),6A(1),01/07/2017,95600,14A(1),6A(1),01/07/2016,89300,14A(1),6A(1),01/07/2015,89300,14A(1),6A(1),01/07/2014,89300,14A(1),6A(1),
274,SNOWY VALLEYS,2975357,NORMAL,"",,,"SNOWY MOUNTAINS HWY","ADELONG",2729,"2/1049893",RU1,25.62,H,01/07/2018,147000,14A(1),6A(1),01/07/2017,140000,14A(1),6A(1),01/07/2016,137500,14A(1),6A(1),01/07/2015,125000,14A(1),6A(1),01/07/2014,125000,14A(1),6A(1),
274,SNOWY VALLEYS,3017017,NORMAL,"",,79A,"RUSSELL ST","TUMUT",2720,"20/1057043",R3,325,M,01/07/2018,48300,14A(1),6A(1),01/07/2017,47000,14A(1),6A(1),01/07/2016,45954,14A(1),6A(1),01/07/2015,43600,14A(1),6A(1),01/07/2014,43600,14A(1),6A(1),
274,SNOWY VALLEYS,3017018,NORMAL,"",,79,"RUSSELL ST","TUMUT",2720,"21/1057043",R3,1013,M,01/07/2018,62200,14A(1),6A(1),01/07/2017,60500,14A(1),6A(1),01/07/2016,59129,14A(1),6A(1),01/07/2015,56100,14A(1),6A(1),01/07/2014,56100,14A(1),6A(1),
274,SNOWY VALLEYS,2844410,NORMAL,"",,,"WEST GILMORE RD","GILMORE",2720,"20/1029391 WS 040063",RU1,37.46,H,01/07/2018,323000,14A(1),6A(3),01/07/2017,304000,14A(1),6A(3),01/07/2016,295000,14A(1),6A(3),01/07/2015,295000,14A(1),6A(3),01/07/2014,295000,14A(1),6A(3),
274,SNOWY VALLEYS,2844411,NORMAL,"",,654,"WEST GILMORE RD","GILMORE",2720,"21/1029391",RU1,4.048,H,01/07/2018,142000,14A(1),6A(1),01/07/2017,134000,14A(1),6A(1),01/07/2016,130000,14A(1),6A(1),01/07/2015,130000,14A(1),6A(1),01/07/2014,130000,14A(1),6A(1),
274,SNOWY VALLEYS,2860153,NORMAL,"",,875,"BATLOW RD","COURABYRA",2653,"13/113668 1/113697 2/624001 174/755874",E3,148.52,H,01/07/2018,214000,14A(1),6A(1),01/07/2017,208000,14A(1),6A(1),01/07/2016,190000,14A(1),6A(1),01/07/2015,190000,14A(1),6A(1),01/07/2014,200000,14A(1),6A(1),
274,SNOWY VALLEYS,2860154,NORMAL,"",,911,"BATLOW RD","COURABYRA",2653,"2/113697 1/624001",RU1,43.49,H,01/07/2018,198000,14A(1),6A(1),01/07/2017,168000,14A(1),6A(1),01/07/2016,153000,14A(1),6A(1),01/07/2015,153000,14A(1),6A(1),01/07/2014,153000,14A(1),6A(1),
274,SNOWY VALLEYS,2860155,NORMAL,"",,1020,"COURABYRA RD","COURABYRA",2653,"1/113698 64, 184/757223",RU1,28.02,H,01/07/2018,156000,14A(1),6A(1),01/07/2017,132000,14A(1),6A(1),01/07/2016,120000,14A(1),6A(1),01/07/2015,120000,14A(1),6A(1),01/07/2014,120000,14A(1),6A(1),
274,SNOWY VALLEYS,2818866,NORMAL,"",,15A,"CAPPER ST","TUMUT",2720,"22/1025189",R2,1606,M,01/07/2018,89200,14A(1),6A(1),01/07/2017,85200,14A(1),6A(1),01/07/2016,81100,14A(1),6A(1),01/07/2015,81100,14A(1),6A(1),01/07/2014,81100,14A(1),6A(1),
